index,S:all,I:all,beta:all,k:all,sto:all,d:all,rep:all,phi:all,log_like
275,0.969776,1.61032e-06,0.998989,70.3577,0.1,0.268252,1,0.1,-7466.158699
276,0.969776,1.61032e-06,0.998989,70.3577,0.1,0.268252,1,0.1,-7466.158699
277,0.969776,1.61032e-06,0.998989,70.3577,0.1,0.268252,1,0.1,-7466.158699
278,0.969795,1.69887e-06,0.998932,70.3956,0.1,0.268548,1,0.1,-7466.015370
279,0.969892,1.64803e-06,0.999332,70.35,0.1,0.268212,1,0.1,-7465.883936
280,0.969892,1.64803e-06,0.999332,70.35,0.1,0.268212,1,0.1,-7465.883936
281,0.969892,1.64803e-06,0.999332,70.35,0.1,0.268212,1,0.1,-7465.883936
282,0.96994,1.67032e-06,0.999526,70.3402,0.1,0.268061,1,0.1,-7465.695980
283,0.969941,1.87538e-06,0.999405,70.4297,0.1,0.268454,1,0.1,-7465.354418
284,0.969941,1.87538e-06,0.999405,70.4297,0.1,0.268454,1,0.1,-7465.354418
285,0.969941,1.87538e-06,0.999405,70.4297,0.1,0.268454,1,0.1,-7465.354418
286,0.969941,1.87538e-06,0.999405,70.4297,0.1,0.268454,1,0.1,-7465.354418
287,0.969994,2.0221e-06,0.999834,70.4039,0.1,0.268083,1,0.1,-7464.733142
288,0.969994,2.0221e-06,0.999834,70.4039,0.1,0.268083,1,0.1,-7464.733142
289,0.969994,2.0221e-06,0.999834,70.4039,0.1,0.268083,1,0.1,-7464.733142
290,0.969999,2.27888e-06,0.999928,70.4373,0.1,0.268208,1,0.1,-7464.289823
291,0.969999,2.27888e-06,0.999928,70.4373,0.1,0.268208,1,0.1,-7464.289823
292,0.97,2.72106e-06,0.999986,70.4653,0.1,0.267658,1,0.1,-7463.469194
