index,S:all,A:all,I:all,betaA:all,betaI:all,kA:all,kI:all,sto:all,rep:all,phi:all,log_like
126,0.642887,1.02213e-05,1.14393e-05,1.28991,0.0332479,4.86924,80.9648,0.1,1,0.1,-21521.685506
127,0.6477,1.04187e-05,1.11889e-05,1.29131,0.0324898,4.85809,81.0478,0.1,1,0.1,-21421.418828
128,0.6477,1.04187e-05,1.11889e-05,1.29131,0.0324898,4.85809,81.0478,0.1,1,0.1,-21421.418828
129,0.6477,1.04187e-05,1.11889e-05,1.29131,0.0324898,4.85809,81.0478,0.1,1,0.1,-21421.418828
130,0.660176,1.04376e-05,1.1298e-05,1.30226,0.0316857,4.86997,81.1286,0.1,1,0.1,-21350.637196
131,0.653443,1.0211e-05,1.12564e-05,1.32311,0.0307129,4.87536,81.0498,0.1,1,0.1,-21116.904988
132,0.653443,1.0211e-05,1.12564e-05,1.32311,0.0307129,4.87536,81.0498,0.1,1,0.1,-21116.904988
133,0.660804,1.00582e-05,1.13106e-05,1.36502,0.0291072,4.88455,80.9576,0.1,1,0.1,-20793.800053
134,0.660804,1.00582e-05,1.13106e-05,1.36502,0.0291072,4.88455,80.9576,0.1,1,0.1,-20793.800053
135,0.659612,1.02658e-05,1.14302e-05,1.41512,0.0281225,4.91313,81.1256,0.1,1,0.1,-20564.934193
136,0.659612,1.02658e-05,1.14302e-05,1.41512,0.0281225,4.91313,81.1256,0.1,1,0.1,-20564.934193
137,0.657899,1.01356e-05,1.188e-05,1.36803,0.0266116,4.90275,81.1774,0.1,1,0.1,-20107.438853
138,0.657899,1.01356e-05,1.188e-05,1.36803,0.0266116,4.90275,81.1774,0.1,1,0.1,-20107.438853
139,0.663596,1.01153e-05,1.15241e-05,1.36647,0.0257787,4.91449,81.1021,0.1,1,0.1,-19838.338580
140,0.665782,1.02431e-05,1.173e-05,1.36151,0.0249334,4.89862,81.3093,0.1,1,0.1,-19558.060642
141,0.65765,1.02541e-05,1.1745e-05,1.37783,0.0239322,4.90312,81.2739,0.1,1,0.1,-19163.517776
142,0.65765,1.02541e-05,1.1745e-05,1.37783,0.0239322,4.90312,81.2739,0.1,1,0.1,-19163.517776
143,0.656153,1.04679e-05,1.16677e-05,1.39474,0.0234458,4.92261,81.5072,0.1,1,0.1,-19018.266749
144,0.650228,9.95034e-06,1.17788e-05,1.37482,0.0219705,4.93995,81.7274,0.1,1,0.1,-18531.614164
145,0.650228,9.95034e-06,1.17788e-05,1.37482,0.0219705,4.93995,81.7274,0.1,1,0.1,-18531.614164
146,0.6642,1.00606e-05,1.1595e-05,1.42889,0.0211762,4.91517,81.8839,0.1,1,0.1,-18200.499911
147,0.659003,1.00484e-05,1.16189e-05,1.42543,0.0208411,4.94006,81.9519,0.1,1,0.1,-18116.845847
148,0.667775,1.00402e-05,1.15402e-05,1.43532,0.0204534,4.94393,82.0367,0.1,1,0.1,-17959.274289
149,0.662506,1.02033e-05,1.14387e-05,1.4092,0.0198912,4.90484,82.239,0.1,1,0.1,-17819.157508
